Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,18.639999389648438,19.260000228881836,17.09000015258789,17.200000762939453,17.200000762939453,5135200
2023-01-04,17.25,17.93000030517578,16.899999618530273,17.31999969482422,17.31999969482422,3939300
2023-01-05,17.059999465942383,17.260000228881836,15.890000343322754,16.219999313354492,16.219999313354492,6066200
2023-01-06,16.0,16.56999969482422,15.40999984741211,16.459999084472656,16.459999084472656,4823400
2023-01-09,16.649999618530273,17.1299991607666,16.360000610351562,16.3799991607666,16.3799991607666,3522600
2023-01-10,16.299999237060547,18.09000015258789,16.25,17.770000457763672,17.770000457763672,4402800
2023-01-11,18.190000534057617,20.049999237060547,17.860000610351562,19.040000915527344,19.040000915527344,8405800
2023-01-12,19.040000915527344,20.6299991607666,18.34000015258789,20.6299991607666,20.6299991607666,5877300
2023-01-13,19.8799991607666,21.110000610351562,19.799999237060547,20.489999771118164,20.489999771118164,5494400
2023-01-17,20.489999771118164,21.940000534057617,20.3700008392334,21.799999237060547,21.799999237060547,5407900
2023-01-18,22.010000228881836,22.149999618530273,20.5,20.790000915527344,20.790000915527344,5632200
2023-01-19,20.440000534057617,20.450000762939453,18.81999969482422,19.040000915527344,19.040000915527344,4519200
2023-01-20,19.049999237060547,20.06999969482422,18.899999618530273,19.610000610351562,19.610000610351562,3564300
2023-01-23,19.5,22.489999771118164,19.3700008392334,21.65999984741211,21.65999984741211,7181500
2023-01-24,21.299999237060547,22.09000015258789,21.0,21.399999618530273,21.399999618530273,2381600
2023-01-25,20.59000015258789,20.84000015258789,19.530000686645508,20.229999542236328,20.229999542236328,3515800
2023-01-26,20.610000610351562,21.170000076293945,19.3799991607666,20.010000228881836,20.010000228881836,3520000
2023-01-27,19.799999237060547,23.309999465942383,19.40999984741211,22.81999969482422,22.81999969482422,11897200
2023-01-30,22.5,23.479999542236328,21.1299991607666,21.25,21.25,4950600
2023-01-31,21.40999984741211,22.049999237060547,21.299999237060547,21.8700008392334,21.8700008392334,3128400
2023-02-01,21.489999771118164,22.1200008392334,20.549999237060547,21.829999923706055,21.829999923706055,4517200
2023-02-02,22.440000534057617,24.399999618530273,22.219999313354492,22.700000762939453,22.700000762939453,7655700
2023-02-03,22.010000228881836,23.93000030517578,21.799999237060547,22.25,22.25,4935900
2023-02-06,21.8799991607666,24.8799991607666,21.770000457763672,23.860000610351562,23.860000610351562,8708400
2023-02-07,23.0,23.049999237060547,20.5,21.219999313354492,21.219999313354492,9093700
2023-02-08,21.43000030517578,21.549999237060547,20.610000610351562,21.100000381469727,21.100000381469727,2846400
2023-02-09,21.25,21.649999618530273,19.670000076293945,19.670000076293945,19.670000076293945,4497400
2023-02-10,19.559999465942383,20.040000915527344,19.049999237060547,19.270000457763672,19.270000457763672,2902700
2023-02-13,19.299999237060547,19.940000534057617,19.010000228881836,19.690000534057617,19.690000534057617,2299300
2023-02-14,19.309999465942383,20.010000228881836,19.100000381469727,19.8700008392334,19.8700008392334,2746300
2023-02-15,19.799999237060547,21.799999237060547,19.59000015258789,21.799999237060547,21.799999237060547,7137800
2023-02-16,21.25,22.420000076293945,20.850000381469727,21.600000381469727,21.600000381469727,3879000
2023-02-17,21.270000457763672,22.06999969482422,21.149999618530273,21.989999771118164,21.989999771118164,2851000
2023-02-21,21.329999923706055,21.829999923706055,20.6299991607666,20.65999984741211,20.65999984741211,3100300
2023-02-22,20.530000686645508,21.190000534057617,20.329999923706055,20.520000457763672,20.520000457763672,2164900
2023-02-23,20.65999984741211,20.8700008392334,19.530000686645508,20.139999389648438,20.139999389648438,2862000
2023-02-24,19.709999084472656,20.079999923706055,19.540000915527344,19.540000915527344,19.540000915527344,2277600
2023-02-27,19.610000610351562,19.700000762939453,18.889999389648438,19.100000381469727,19.100000381469727,4006700
2023-02-28,19.059999465942383,19.520000457763672,18.950000762939453,19.229999542236328,19.229999542236328,3373800
2023-03-01,18.920000076293945,19.09000015258789,18.139999389648438,18.149999618530273,18.149999618530273,4210100
2023-03-02,18.149999618530273,18.399999618530273,17.6200008392334,18.190000534057617,18.190000534057617,2622100
2023-03-03,18.190000534057617,19.100000381469727,18.100000381469727,18.700000762939453,18.700000762939453,2505500
2023-03-06,18.520000457763672,19.5,18.520000457763672,18.649999618530273,18.649999618530273,2815300
2023-03-07,18.540000915527344,18.84000015258789,18.059999465942383,18.059999465942383,18.059999465942383,2375300
2023-03-08,18.049999237060547,18.3799991607666,17.6299991607666,18.170000076293945,18.170000076293945,3277800
2023-03-09,18.06999969482422,18.3799991607666,17.479999542236328,17.520000457763672,17.520000457763672,2652600
2023-03-10,17.530000686645508,17.770000457763672,16.850000381469727,17.25,17.25,2845500
2023-03-13,16.770000457763672,17.350000381469727,16.520000457763672,16.75,16.75,2959100
2023-03-14,17.3700008392334,17.40999984741211,16.399999618530273,16.90999984741211,16.90999984741211,3077400
2023-03-15,16.5,16.690000534057617,15.699999809265137,15.949999809265137,15.949999809265137,4541500
2023-03-16,16.0,16.770000457763672,15.529999732971191,16.760000228881836,16.760000228881836,4083000
2023-03-17,16.6200008392334,16.719999313354492,15.920000076293945,16.600000381469727,16.600000381469727,5105500
2023-03-20,16.649999618530273,17.270000457763672,16.25,16.8700008392334,16.8700008392334,4463700
2023-03-21,17.149999618530273,18.350000381469727,17.139999389648438,17.649999618530273,17.649999618530273,15882900
2023-03-22,26.600000381469727,27.0,23.049999237060547,23.8700008392334,23.8700008392334,66764700
2023-03-23,22.56999969482422,24.59000015258789,22.1299991607666,22.579999923706055,22.579999923706055,11168900
2023-03-24,22.31999969482422,23.989999771118164,22.100000381469727,23.979999542236328,23.979999542236328,8756400
